Symbol,Underlying,Security Name, Date of Listing, Market Lot,ISIN Number, Face Value
ICICINV20,Nifty50 Value 20,ICICI Pru NV20 ETF,22-Jun-16,1,INF109KB1WY5,10
ICICIMCAP,Nifty GS 8 13Yr,ICICI Pru Midcap Sel ETF,11-Jul-16,1,INF109KB1XT3,10
LTGILTBEES,S&P BSE Midcap Select Index,NIP IND ETF LONGTERM GILT,11-Jul-16,1,INF204KB1882,10
IDFNIFTYET,NIFTY 50,IDFCAMC - IDFNIFTYET,18-Oct-16,1,INF194KA1U07,10
AXISNIFTY,NIFTY 50,AXISAMC - AXISNIFTY,10-Jul-17,1,INF846K01W98,10
ICICILOVOL,Nifty 100 Low Volatility 30 Index,ICICI Pru Nifty Low vol30,10-Jul-17,1,INF109KB10T8,10
UTINEXT50,Nifty Next 50,UTIAMC - UTINEXT50,8-Aug-17,1,INF789F1AUW9,1
ICICIB22,S&P BSE BHARAT 22 index,ICICIPRAMC - BHARATIWIN,28-Nov-17,1,INF109KB15Y7,10
LIQUIDETF,Nifty1D rate index,DSPAMC - LIQUIDETF,20-Mar-18,1,INF740KA1EU7,1000
ICICI500,S&P BSE 500 index,ICICIPRAMC - ICICI500,16-May-18,1,INF109KC1CZ3,10
ICICINXT50,Nifty Next 50,ICICIPRAMC - ICICINXT50,30-Aug-18,1,INF109KC1NS5,1
ICICILIQ,S&P BSE Liquid Rate Index.,ICICIPRAMC - ICICILIQ,26-Sep-18,1,INF109KC1KT9,1000
NIFTYETF,Nifty 50,MIRAEAMC - MAN50ETF,26-Nov-18,1,INF769K01EG9,100
SBIETFQLTY,Nifty 200 Quality 30 Index,SBIAMC - SBIETFQLTY,17-Dec-18,1,INF200KA1WX6,10
ABSLNN50ET,Nifty Next 50,BIRLASLAMC - ABSLNN50ET,21-Dec-18,1,INF209KB1B87,10
NETF,Nifty 50,TATAAML - NETF,4-Jan-19,1,INF277K015R5,10
MID150BEES,Nifty Midcap 150,NIP IND ETF MIDCAP 150,4-Feb-19,1,INF204KB1V68,10
UTISXN50,BSE Sensex Next 50,UTIAMC - UTISXN50,13-Mar-19,1,INF789F1AUU3,1
IBMFNIFTY,Nifty 50,IBULLSAMC - IBMFNIFTY,8-May-19,1,INF666M01FS5,10
ICICIBANKN,Nifty Bank Index,ICICIPRAMC - IPRU5008,15-Jul-19,1,INF109KC1E27,10
ICICIBANKP,Nifty Private Bank Index,ICICIPRAMC - ICICIBANKP,14-Aug-19,1,INF109KC1E35,10
NPBET,Nifty Private Bank Index,TATAAML - NPBET,9-Sep-19,1,INF277K010X4,10
ABSLBANETF,Nifty Bank,BIRLASLAMC - ABSLBANETF,30-Oct-19,1,INF209KB1O58,10
EBBETF0423,Nifty BHARAT Bond,EDELAMC - EBBETF0423,2-Jan-20,1,INF754K01KN4,1000
EBBETF0430,Nifty BHARAT Bond,EDELAMC - EBBETF0430,2-Jan-20,1,INF754K01KO2,1000
ICICIM150,Nifty Midcap 150,ICICIPRAMC - ICICIM150,28-Jan-20,1,INF109KC1G82,10
NEXT50,Nifty Next 50,MIRAEAMC - MANXT50,30-Jan-20,1,INF769K01FN2,275
ITBEES,Nifty IT,NIP IND ETF IT,1-Jul-20,1,INF204KB15V2,10
EBBETF0425,Nifty BHARAT Bond Index – April 2025,EDELAMC - EBBETF0425,29-Jul-20,1,INF754K01LD3,1000
EBBETF0431,Nifty BHARAT Bond Index – April 2031,EDELAMC - EBBETF0431,29-Jul-20,1,INF754K01LE1,1000
ICICIALPLV,Nifty Alpha Low-Volatility 30 Index,ICICIPRAMC - ICICIALPLV,18-Aug-20,1,INF109KC1N59,10
ICICITECH,NIFTY IT Index,ICICIPRAMC - ICICITECH,20-Aug-20,1,INF109KC1N67,10
HDFCNIFBAN,NIFTY Bank Index,HDFCAMC - HDFCNIFBAN,28-Aug-20,1,INF179KC1AN8,223.31
UTIBANKETF,Nifty Bank Index,UTIAMC - UTIBANKETF,3-Sep-20,1,INF789F1AUV1,1
SBIETFIT,Nifty IT Index,SBIAMC - SBIETFIT,22-Oct-20,1,INF200KA1S14,10
SBIETFPB,Nifty Private Bank Index,SBIAMC - SBIETFPB,22-Oct-20,1,INF200KA1S22,10
AXISBNKETF,Nifty Bank,AXISAMC - AXISBNKETF,9-Nov-20,1,INF846K01X63,100
SDL24BEES,Nifty CPSE Bond Plus SDL Sep 2024 50:50 Index,NIPPON INDIA- NIMFXX,18-Nov-20,1,INF204KB18W4,10
ESG,Nifty100 ESG Sector Leaders Total Return Index,MIRAEAMC - MAESGETF,24-Nov-20,1,INF769K01GS9,17.5
MOGSEC,Nifty 5 yr Benchmark G-Sec Index,MOTILALAMC - G5,16-Dec-20,1,INF247L01AK4,10
KOTAKIT,NIFTY IT Index,KOTAKMAMC - KOTAKIT,5-Mar-21,1,INF174KA1GC5,10
