SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
364D211223,Government of India,TB,100,100,100,,23-DEC-2022,,21-DEC-2023,,,,,IN002022Z382
364D220224,Government of India,TB,100,100,100,,24-FEB-2023,,22-FEB-2024,,,,,IN002022Z473
364D220324,Government of India,TB,100,100,100,,27-MAR-2023,,22-MAR-2024,,,,,IN002022Z515
364D220824,Government of India,TB,100,100,100,,25-AUG-2023,,22-AUG-2024,,,,,IN002023Z232
364D230524,Government of India,TB,100,100,100,,26-MAY-2023,,23-MAY-2024,,,,,IN002023Z091
364D231123,Government of India,TB,100,100,100,,25-NOV-2022,,23-NOV-2023,,,,,IN002022Z341
364D241024,Government of India,TB,100,100,100,,27-OCT-2023,,24-OCT-2024,,,,,IN002023Z323
364D250424,Government of India,TB,100,100,100,,02-MAY-2023,,25-APR-2024,,,,,IN002023Z059
364D250724,Government of India,TB,100,100,100,,28-JUL-2023,,25-JUL-2024,,,,,IN002023Z182
364D260124,Government of India,TB,100,100,100,,31-JAN-2023,,26-JAN-2024,,,,,IN002022Z432
364D270924,Government of India,TB,100,100,100,,29-SEP-2023,,27-SEP-2024,,,,,IN002023Z281
364D280624,Government of India,TB,100,100,100,,03-JUL-2023,,28-JUN-2024,,,,,IN002023Z141
364D281223,Government of India,TB,100,100,100,,30-DEC-2022,,28-DEC-2023,,,,,IN002022Z390
364D290224,Government of India,TB,100,100,100,,03-MAR-2023,,29-FEB-2024,,,,,IN002022Z481
364D290324,Government of India,TB,100,100,100,,05-APR-2023,,29-MAR-2024,,,,,IN002022Z523
364D290824,Government of India,TB,100,100,100,,01-SEP-2023,,29-AUG-2024,,,,,IN002023Z240
364D300524,Government of India,TB,100,100,100,,02-JUN-2023,,30-MAY-2024,,,,,IN002023Z109
364D301123,Government of India,TB,100,100,100,,02-DEC-2022,,30-NOV-2023,,,,,IN002022Z358
448GS2023,Government of India,GS,100,100,1,4.48,03-NOV-2020,,02-NOV-2023,,,,,IN0020200211
456GS2023,Government of India,GS,100,100,1,4.56,30-NOV-2021,,29-NOV-2023,,,,,IN0020210210
45AS23,Assam State,SG,100,100,100,4.5,13-NOV-2020,,11-NOV-2023,,,,,IN1220200126
473KA23,Karnataka State,SG,100,100,100,4.73,03-DEC-2021,,01-DEC-2023,,,,,IN1920210110
474KA23,Karnataka State,SG,100,100,100,4.74,22-NOV-2021,,17-NOV-2023,,,,,IN1920210078
47KA23,Karnataka State,SG,100,100,100,4.7,26-NOV-2021,,24-NOV-2023,,,,,IN1920210094
495ML24,Meghalaya State,SG,100,100,100,4.95,13-SEP-2021,,08-SEP-2024,,,,,IN2420210030
497AS24,Assam State,SG,100,100,100,4.97,03-SEP-2021,,01-SEP-2024,,,,,IN1220210059
503KL24,Kerala State,SG,100,100,100,5.03,27-JUL-2020,,22-JUL-2024,,,,,IN2020200159
505RJ24,Rajasthan State,SG,100,100,100,5.05,31-JUL-2020,,29-JUL-2024,,,,,IN2920200259
512BR24,Bihar State,SG,100,100,100,5.12,13-NOV-2020,,11-NOV-2024,,,,,IN1320200091
515GS2025,Government of India,GS,100,100,1,5.15,10-NOV-2020,,09-NOV-2025,,,,,IN0020200278
518KL24,Kerala State,SG,100,100,100,5.18,05-FEB-2021,,03-FEB-2024,,,,,IN2020200258
522GS2025,Government of India,GS,100,100,1,5.22,16-JUN-2020,,15-JUN-2025,,,,,IN0020200112
524AS24,Assam State,SG,100,100,100,5.24,23-OCT-2020,,21-OCT-2024,,,,,IN1220200092
525AS24,Assam State,SG,100,100,100,5.25,12-NOV-2021,,10-NOV-2024,,,,,IN1220210117
527BR24,Bihar State,SG,100,100,100,5.27,23-OCT-2020,,21-OCT-2024,,,,,IN1320200083
527GJ24,Gujarat State,SG,100,100,100,5.27,21-JAN-2022,,19-JAN-2024,,,,,IN1520210163
532AS25,Assam State,SG,100,100,100,5.32,27-NOV-2020,,25-NOV-2025,,,,,IN1220200159
532AS26,Assam State,SG,100,100,100,5.32,08-JAN-2021,,06-JAN-2026,,,,,IN1220200191
532CG25,Chattisgarh State,SG,100,100,100,5.32,27-NOV-2020,,25-NOV-2025,,,,,IN3520200061
532RJ25,Rajasthan State,SG,100,100,100,5.32,01-JAN-2021,,30-DEC-2025,,,,,IN2920200531
535CG25,Chattisgarh State,SG,100,100,100,5.35,06-NOV-2020,,04-NOV-2025,,,,,IN3520200053
535RJ25,Rajasthan State,SG,100,100,100,5.35,18-DEC-2020,,16-DEC-2025,,,,,IN2920200523
538CG25,Chattisgarh State,SG,100,100,100,5.38,30-OCT-2020,,28-OCT-2025,,,,,IN3520200046
538RJ24,Rajasthan State,SG,100,100,100,5.38,27-JUL-2020,,27-MAY-2024,,,,,IN2920200069
539GJ24,Gujarat State,SG,100,100,100,5.39,05-APR-2021,,31-MAR-2024,,,,,IN1520200313
539RJ24,Rajasthan State,SG,100,100,100,5.39,14-AUG-2020,,12-AUG-2024,,,,,IN2920200309
539RJ25,Rajasthan State,SG,100,100,100,5.39,29-JAN-2021,,27-JAN-2025,,,,,IN2920200580
53BR25,Bihar State,SG,100,100,100,5.3,27-NOV-2020,,25-NOV-2025,,,,,IN1320200109
540CG24,Chattisgarh State,SG,100,100,100,5.4,14-AUG-2020,,12-AUG-2024,,,,,IN3520200012
541AP24,Andhra Pradesh State,SG,100,100,100,5.41,14-AUG-2020,,12-AUG-2024,,,,,IN1020200284
541GA25,Goa State,SG,100,100,100,5.41,01-JAN-2021,,30-DEC-2025,,,,,IN1420200223
542RJ24,Rajasthan State,SG,100,100,100,5.42,15-MAR-2021,,10-MAR-2024,,,,,IN2920200762
543BR24,Bihar State,SG,100,100,100,5.43,05-APR-2021,,31-MAR-2024,,,,,IN1320200166
